rome_code,competence_code,competence_libelle_rome,nombre_offres_skill,rome_libelle,sortants_total,taux_moyen,nombre_offres_ft,offres_alternance,taux_offres_alternance,cluster_id,cluster_label,code_metier_bmo,nom_metier_bmo,niveau_confiance,bmo_projets_recrutement_annee_ref,bmo_projets_difficiles_annee_ref,bmo_projets_saisonniers_annee_ref,score_mixte_demande_skills,rank_skill_rome
M1419,491983,Analyse de données programmatiques,2,Data analyst,280.0,0.0,78,14,17.94871794871795,0,cluster_volume_modere,M2X90,"Ingénieurs et cadres d'étude, recherche et développement en informatique et télécom",faible,18127,10416,112,560.0,4.0
M1419,478203,Analyse de données opérationnelles,2,Data analyst,280.0,0.0,78,14,17.94871794871795,0,cluster_volume_modere,M2X90,"Ingénieurs et cadres d'étude, recherche et développement en informatique et télécom",faible,18127,10416,112,560.0,4.0
M1419,121983,Assister une structure dans l'interprétation et l'analyse d'une étude,2,Data analyst,280.0,0.0,78,14,17.94871794871795,0,cluster_volume_modere,M2X90,"Ingénieurs et cadres d'étude, recherche et développement en informatique et télécom",faible,18127,10416,112,560.0,4.0
M1419,117698,Concevoir des modèles de détection des insights consommateurs,1,Data analyst,280.0,0.0,78,14,17.94871794871795,0,cluster_volume_modere,M2X90,"Ingénieurs et cadres d'étude, recherche et développement en informatique et télécom",faible,18127,10416,112,280.0,5.0
M1419,300200,Exploiter des solutions de Data Science ou d'Intelligence Artificielle,1,Data analyst,280.0,0.0,78,14,17.94871794871795,0,cluster_volume_modere,M2X90,"Ingénieurs et cadres d'étude, recherche et développement en informatique et télécom",faible,18127,10416,112,280.0,5.0
M1419,405051,Concevoir un plan d'analyse statistique,1,Data analyst,280.0,0.0,78,14,17.94871794871795,0,cluster_volume_modere,M2X90,"Ingénieurs et cadres d'étude, recherche et développement en informatique et télécom",faible,18127,10416,112,280.0,5.0
M1419,300201,Intégrer des produits Data dans les processus métiers,1,Data analyst,280.0,0.0,78,14,17.94871794871795,0,cluster_volume_modere,M2X90,"Ingénieurs et cadres d'étude, recherche et développement en informatique et télécom",faible,18127,10416,112,280.0,5.0
M1419,513111,Interpréter des résultats de campagne média,1,Data analyst,280.0,0.0,78,14,17.94871794871795,0,cluster_volume_modere,M2X90,"Ingénieurs et cadres d'étude, recherche et développement en informatique et télécom",faible,18127,10416,112,280.0,5.0
M1419,108784,"Déterminer et développer les méthodes de recherche, de recueil et d'analyse de données",1,Data analyst,280.0,0.0,78,14,17.94871794871795,0,cluster_volume_modere,M2X90,"Ingénieurs et cadres d'étude, recherche et développement en informatique et télécom",faible,18127,10416,112,280.0,5.0
M1419,501123,Optimiser des processus d'analyse de données,1,Data analyst,280.0,0.0,78,14,17.94871794871795,0,cluster_volume_modere,M2X90,"Ingénieurs et cadres d'étude, recherche et développement en informatique et télécom",faible,18127,10416,112,280.0,5.0
M1419,508618,Développer des modèles prédictifs pour l'analyse de données,1,Data analyst,280.0,0.0,78,14,17.94871794871795,0,cluster_volume_modere,M2X90,"Ingénieurs et cadres d'étude, recherche et développement en informatique et télécom",faible,18127,10416,112,280.0,5.0
M1419,513457,Utiliser l'anglais dans un contexte professionnel,1,Data analyst,280.0,0.0,78,14,17.94871794871795,0,cluster_volume_modere,M2X90,"Ingénieurs et cadres d'étude, recherche et développement en informatique et télécom",faible,18127,10416,112,280.0,5.0
M1419,113255,Utilisation d'outils Business Intelligence (BI) - Informatique décisionnelle,1,Data analyst,280.0,0.0,78,14,17.94871794871795,0,cluster_volume_modere,M2X90,"Ingénieurs et cadres d'étude, recherche et développement en informatique et télécom",faible,18127,10416,112,280.0,5.0
M1419,487088,Utiliser des logiciels statistiques pour le traitement de données,1,Data analyst,280.0,0.0,78,14,17.94871794871795,0,cluster_volume_modere,M2X90,"Ingénieurs et cadres d'étude, recherche et développement en informatique et télécom",faible,18127,10416,112,280.0,5.0
I1404,106840,Configurer le poste de travail aux besoins de l'utilisateur,1,Conseiller / Conseillère support technique informatique,270.0,0.0,1,1,100.0,0,cluster_volume_modere,,,,,,,270.0,1.0
I1404,126530,Dépanner des équipements informatiques,1,Conseiller / Conseillère support technique informatique,270.0,0.0,1,1,100.0,0,cluster_volume_modere,,,,,,,270.0,1.0
I1404,300082,"Analyser, résoudre un problème courant ou complexe",1,Conseiller / Conseillère support technique informatique,270.0,0.0,1,1,100.0,0,cluster_volume_modere,,,,,,,270.0,1.0
M1861,109846,Concevoir une application web,2,Développeur / Développeuse logiciel ou d'application,240.0,0.0,2,0,0.0,2,cluster_equilibre_demande_offre,M2X90,"Ingénieurs et cadres d'étude, recherche et développement en informatique et télécom",eleve,18127,10416,112,480.0,1.0
M1861,300688,Application web,2,Développeur / Développeuse logiciel ou d'application,240.0,0.0,2,0,0.0,2,cluster_equilibre_demande_offre,M2X90,"Ingénieurs et cadres d'étude, recherche et développement en informatique et télécom",eleve,18127,10416,112,480.0,1.0
M1861,478668,Développement front-end et back-end,1,Développeur / Développeuse logiciel ou d'application,240.0,0.0,2,0,0.0,2,cluster_equilibre_demande_offre,M2X90,"Ingénieurs et cadres d'étude, recherche et développement en informatique et télécom",eleve,18127,10416,112,240.0,2.0
M1861,481937,Gestion de version de code,1,Développeur / Développeuse logiciel ou d'application,240.0,0.0,2,0,0.0,2,cluster_equilibre_demande_offre,M2X90,"Ingénieurs et cadres d'étude, recherche et développement en informatique et télécom",eleve,18127,10416,112,240.0,2.0
M1861,109862,Architecture web,1,Développeur / Développeuse logiciel ou d'application,240.0,0.0,2,0,0.0,2,cluster_equilibre_demande_offre,M2X90,"Ingénieurs et cadres d'étude, recherche et développement en informatique et télécom",eleve,18127,10416,112,240.0,2.0
M1102,300315,"Identifier et sélectionner des fournisseurs, sous-traitants, prestataires",1,Responsable des achats,180.0,0.0,1,0,0.0,2,cluster_equilibre_demande_offre,,,,,,,180.0,1.0
M1102,117333,Attribuer un marché,1,Responsable des achats,180.0,0.0,1,0,0.0,2,cluster_equilibre_demande_offre,,,,,,,180.0,1.0
K2108,485982,Promouvoir les méthodes pédagogiques innovantes,1,Professeur / Professeure des universités,160.0,0.0,1,0,0.0,2,cluster_equilibre_demande_offre,,,,,,,160.0,1.0
K2108,482192,Optimiser les ressources pédagogiques disponibles,1,Professeur / Professeure des universités,160.0,0.0,1,0,0.0,2,cluster_equilibre_demande_offre,,,,,,,160.0,1.0
K2108,300458,"Structurer, synthétiser des informations",1,Professeur / Professeure des universités,160.0,0.0,1,0,0.0,2,cluster_equilibre_demande_offre,,,,,,,160.0,1.0
K2108,122320,"Corriger des évaluations (exercices, travaux pratiques, examens)",1,Professeur / Professeure des universités,160.0,0.0,1,0,0.0,2,cluster_equilibre_demande_offre,,,,,,,160.0,1.0
K2108,300026,Concevoir l'ingénierie de formation et les séquences pédagogiques,1,Professeur / Professeure des universités,160.0,0.0,1,0,0.0,2,cluster_equilibre_demande_offre,,,,,,,160.0,1.0
K2108,108517,"Concevoir et préparer les cours, les travaux dirigés ou les travaux pratiques",1,Professeur / Professeure des universités,160.0,0.0,1,0,0.0,2,cluster_equilibre_demande_offre,,,,,,,160.0,1.0
K2108,108816,Logique mathématique,1,Professeur / Professeure des universités,160.0,0.0,1,0,0.0,2,cluster_equilibre_demande_offre,,,,,,,160.0,1.0
K2108,300492,Actualiser régulièrement ses connaissances,1,Professeur / Professeure des universités,160.0,0.0,1,0,0.0,2,cluster_equilibre_demande_offre,,,,,,,160.0,1.0
K2108,120501,Concevoir des modules de formation,1,Professeur / Professeure des universités,160.0,0.0,1,0,0.0,2,cluster_equilibre_demande_offre,,,,,,,160.0,1.0
K2108,300022,"Enseigner, développer des compétences",1,Professeur / Professeure des universités,160.0,0.0,1,0,0.0,2,cluster_equilibre_demande_offre,,,,,,,160.0,1.0
K2108,504174,Intégrer de nouvelles technologies éducatives dans l'enseignement,1,Professeur / Professeure des universités,160.0,0.0,1,0,0.0,2,cluster_equilibre_demande_offre,,,,,,,160.0,1.0
K2108,104548,Informatique,1,Professeur / Professeure des universités,160.0,0.0,1,0,0.0,2,cluster_equilibre_demande_offre,,,,,,,160.0,1.0
K2108,115287,Présider ou participer à un jury d'examen,1,Professeur / Professeure des universités,160.0,0.0,1,0,0.0,2,cluster_equilibre_demande_offre,,,,,,,160.0,1.0
K2108,108475,Développer une démarche pédagogique pour l'enseignement des savoirs fondamentaux,1,Professeur / Professeure des universités,160.0,0.0,1,0,0.0,2,cluster_equilibre_demande_offre,,,,,,,160.0,1.0
K2108,504177,Stimuler la participation étudiante en classe,1,Professeur / Professeure des universités,160.0,0.0,1,0,0.0,2,cluster_equilibre_demande_offre,,,,,,,160.0,1.0
K2108,300426,Utiliser les outils numériques,1,Professeur / Professeure des universités,160.0,0.0,1,0,0.0,2,cluster_equilibre_demande_offre,,,,,,,160.0,1.0
K2108,497176,Rédaction de publications scientifiques,1,Professeur / Professeure des universités,160.0,0.0,1,0,0.0,2,cluster_equilibre_demande_offre,,,,,,,160.0,1.0
M1801,300204,Administrer un système d'informations,2,Administrateur / Administratrice de systèmes d'information (SI),150.0,0.0,5,0,0.0,2,cluster_equilibre_demande_offre,M2X92,"Responsables et cadres de la production, de l'exploitation et de la maintenance informatique et télécom",eleve,1882,736,16,300.0,1.0
M1853,300366,Recueillir et analyser les besoins client,1,Chef / Cheffe de projet étude et développement informatique,140.0,0.0,2,1,50.0,2,cluster_equilibre_demande_offre,M2X91,Chefs de projet et directeurs de service informatique,eleve,2190,988,54,140.0,1.0
M1405,109527,Adapter les outils de traitement statistique de données,18,Data scientist,120.0,0.0,90,4,4.444444444444445,0,cluster_volume_modere,M2X90,"Ingénieurs et cadres d'étude, recherche et développement en informatique et télécom",eleve,18127,10416,112,2160.0,1.0
