date_collecte,type_dimension,valeur_dimension,nombre_offres
2026-08-31,Competence,"Data & ML : SQL, Snowflake, Scikit-learn, XGBoost,",1
2026-08-31,Competence,"Travailler en groupe, en réseau",1
2026-08-31,Competence,Gestion de projet informatique,3
2026-08-31,Competence,Préparer et présenter des rapports financiers détaillés aux parties prenantes,1
2026-08-14,Competence,"Analyser, résoudre un problème courant ou complexe",2
2026-08-14,Competence,Grafana,1
2026-08-15,Competence,Rédaction de spécifications fonctionnelles,1
2026-08-31,Competence,Présentation des résultats dans des conférences,1
2026-08-14,Competence,Promouvoir la collaboration entre les développeurs et les opérateurs pour une meilleure intégration,1
2026-08-31,Competence,Evaluation de modèles d'IA,1
2026-08-31,Competence,Maintenir à jour la documentation technique et les manuels d'utilisation,1
2026-08-14,Competence,Concevoir des modules de formation,1
2026-08-14,Competence,Elaborer des processus et des modes opératoires techniques,1
2026-08-14,Competence,"Concevoir, conduire et vérifier des travaux d'analyse en laboratoire dans le respect des Bonnes Pratiques de Laboratoire (BPL)",1
2026-08-15,Competence,Développement de solutions informatiques,1
2026-08-14,Competence,Former les utilisateurs aux bonnes pratiques de sécurité informatique,1
2026-08-15,Competence,Application web,1
2026-08-31,Competence,Délimiter un périmètre de sécurité,1
2026-08-31,Competence,Utilisation de logiciels d'analyse statistique,1
2026-08-31,Competence,Analyser des résultats d'exploitation bio-informatiques,1
2026-08-14,Competence,"* Autonomie, rigueur",1
2026-08-14,Competence,Utiliser les outils numériques,1
2026-08-14,Competence,Améliorer la qualité du code par des revues systématiques,2
2026-08-31,Competence,c++ C# ou python,1
2026-08-31,Competence,Proposer des améliorations pour augmenter l'efficacité des systèmes,1
2026-08-14,Competence,Faciliter l'intégration de solutions d'intelligence artificielle dans les projets existants,1
