numero_fiche,intitule_certification,nombre_offres,codes_rome_distincts,methode_correspondance,niveau_confiance
RNCP40336,"Industries agroalimentaires : gestion, production et valorisation (fiche nationale)",2,1,correspondance_officielle_france_competences,officiel
RNCP40355,Manager de projet en économie circulaire de matières plastiques et autres matériaux (MS),2,1,correspondance_officielle_france_competences,officiel
RNCP40735,"Ingénieur diplômé de l'Institut supérieur d'agriculture - JUNIA, spécialité Paysage",2,1,correspondance_officielle_france_competences,officiel
RNCP41152,"Ingénieur diplômé de l’école nationale supérieure Mines- Télécom Lille Douai de l'Institut Mines-Télécom, spécialité génie industriel",3,2,correspondance_officielle_france_competences,officiel
RNCP42533,"Ingénieur diplômé du Conservatoire national des arts et métiers, spécialité Instrumentation ",2,1,correspondance_officielle_france_competences,officiel
RNCP42608,Ingénieur diplômé de l’Institut supérieur d’études logistiques de l’Université du Havre,3,2,correspondance_officielle_france_competences,officiel
RNCP42728,"Ingénieur diplômé de l'école nationale supérieure de chimie, de biologie et de physique de l'institut polytechnique de Bordeaux, spécialité agroalimentaire et génie industriel",3,2,correspondance_officielle_france_competences,officiel
RNCP35457,Réseaux & Télécommunications : Internet des objets et mobilité,17,3,correspondance_officielle_france_competences,officiel
RNCP37680,Administrateur d'infrastructures sécurisées,17,3,correspondance_officielle_france_competences,officiel
RNCP39301,"Ingénieur de l'Ecole nationale supérieure des sciences applicatives et du risque (ENSAR) , spécialité Gestion des Risques",11,2,correspondance_officielle_france_competences,officiel
RNCP40356,"Administrateur systèmes, réseaux et cybersécurité",5,1,correspondance_officielle_france_competences,officiel
RNCP40864,Gestionnaire en maintenance et support informatique ,12,3,correspondance_officielle_france_competences,officiel
RNCP41771,Responsable des activités de tourisme et d'événementiel,8,1,correspondance_officielle_france_competences,officiel
RNCP39650,Ingénieur d'affaires industrielles,1,1,correspondance_officielle_france_competences,officiel
RNCP40372,Manager des achats et de la logistique,1,1,correspondance_officielle_france_competences,officiel
RNCP39228,CQP Technicien de maintenance des systèmes informatiques,8,3,correspondance_officielle_france_competences,officiel
RNCP41727,Gestionnaire d'une entreprise artisanale du bâtiment,1,1,correspondance_officielle_france_competences,officiel
RNCP41781,Secrétaire général de mairie (DU),1,1,correspondance_officielle_france_competences,officiel
RNCP36589,Expert en ingénierie patrimoniale internationale (MS),7,1,correspondance_officielle_france_competences,officiel
RNCP37710,Diplôme du Programme Grande Ecole,7,1,correspondance_officielle_france_competences,officiel
RNCP37721,Diplôme en Comptabilité et gestion financière,7,1,correspondance_officielle_france_competences,officiel
RNCP39072,Quantitative Economics ,7,1,correspondance_officielle_france_competences,officiel
RNCP41189,Diplôme d’études spécialisées en management et innovation,9,2,correspondance_officielle_france_competences,officiel
RNCP42384,Economie et finance,7,1,correspondance_officielle_france_competences,officiel
RNCP42668,Diplôme d'études supérieures spécialisées en management international,9,2,correspondance_officielle_france_competences,officiel
RNCP42711,Finance,10,2,correspondance_officielle_france_competences,officiel
RNCP42463,Technicien supérieur systèmes et réseaux ,7,2,correspondance_officielle_france_competences,officiel
RNCP40072,Réalisateur audiovisuel,2,1,correspondance_officielle_france_competences,officiel
RNCP41335,Réalisateur de projets audiovisuels,2,1,correspondance_officielle_france_competences,officiel
RNCP38710,Sciences et Ingénierie - Maintenance des Systèmes Intelligents et Connectés ,1,1,correspondance_officielle_france_competences,officiel
RNCP38185,Sciences de l'éducation et de la formation (fiche nationale),1,1,correspondance_officielle_france_competences,officiel
RNCP39870,Coach professionnel,4,2,correspondance_officielle_france_competences,officiel
