rome_code,competence_code,competence_libelle_rome,nombre_offres
G1211,300408,"Rédiger un rapport, un compte rendu d'activité",1
M1405,499066,Utilisation de logiciels d'analyse statistique,1
K2108,504174,Intégrer de nouvelles technologies éducatives dans l'enseignement,1
K2108,485982,Promouvoir les méthodes pédagogiques innovantes,1
E1405,122455,Sélectionner des canaux de communication,1
H1215,300126,Créer une documentation technique,1
M1818,300067,"Analyser, exploiter, structurer des données",1
M1811,300184,Apporter une assistance technique aux équipes,1
M1717,402203,Coordonner les équipes de développement ou de production pour respecter les délais,1
M1806,486880,Analyser les besoins fonctionnels des utilisateurs,8
M1811,300067,"Analyser, exploiter, structurer des données",76
M1827,300188,"Rédiger un cahier des charges, des spécifications techniques",60
M1806,403448,Communiquer efficacement avec l'équipe et les clients,2
M1827,484485,Configurer et optimiser des systèmes DevOps,53
M1419,300067,"Analyser, exploiter, structurer des données",4
H1520,300245,"Piloter une démarche qualité, un processus d'amélioration continue",2
M1851,300406,Ecrire une ou plusieurs langues étrangères,1
M1806,486791,Implémenter des solutions de sécurité informatique,1
M1717,300452,"Collecter et analyser des données, des informations",1
M1811,404121,Data engineer,5
K2205,126141,Baliser les zones glissantes,1
M1435,522194,Analyser les écarts ou incohérences dans les données,1
G1211,123324,Collecter des données statistiques,1
M1855,300586,Concevoir et développer une solution digitale,3
M1855,402277,Rédiger et élaborer des notices et fiches techniques,2
M1889,498956,Techniques d'optimisation pour IA,1
M1419,108784,"Déterminer et développer les méthodes de recherche, de recueil et d'analyse de données",1
H1101,300185,Réaliser un diagnostic technique,1
M1811,513457,Utiliser l'anglais dans un contexte professionnel,3
M1818,503407,Faciliter l'adoption de nouvelles technologies,1
M1852,300366,Recueillir et analyser les besoins client,3
C1209,123187,Evaluer la solvabilité d'un créditeur et les risques,1
M1827,400298,Elaborer et mettre en oeuvre un plan de tests,3
M1889,486358,Intégrer des considérations éthiques dans l'analyse de données,1
H1215,300492,Actualiser régulièrement ses connaissances,1
M1851,125901,Mettre en place des outils d'aide à la décision,1
H1208,104535,Concevoir les spécifications de l'installation automatisée en fonction du cahier des charges,1
H2605,105771,Vérifier les composants et les disposer en fonction du déroulement des opérations de montage,1
M1806,300083,Elaborer une stratégie de résolution de problèmes,1
M1806,477660,Sécurité des systèmes d'information,1
M1811,300019,Accompagner l'appropriation d'un outil par ses utilisateurs,2
M1717,504654,Préparer et présenter des rapports financiers détaillés aux parties prenantes,1
M1805,400199,Analyser les besoins informatiques,4
M1419,116402,Formaliser les résultats d'une étude statistique de données,2
M1419,300201,Intégrer des produits Data dans les processus métiers,1
M1806,507960,Assurer la liaison entre les différents départements techniques,1
I1310,106679,Changer ou réparer une pièce ou un ensemble défectueux,1
M1405,109870,Java,1
H1215,300085,Conduire des travaux d'études et de recherche,1
M1811,404328,Assurer la maintenance préventive et les améliorations des infrastructures numériques,2
M1811,300449,Expliquer et faire respecter les règles et procédures,1
K2202,121239,Délimiter un périmètre de sécurité,1
M1806,400367,Analyser des données pour prendre des décisions stratégiques,2
M1889,300200,Exploiter des solutions de Data Science ou d'Intelligence Artificielle,1
M1841,300679,"Tester un logiciel, un système d'informations, une application",2
K2108,115287,Présider ou participer à un jury d'examen,1
M1818,109846,Concevoir une application web,2
I1616,300182,"Réparer un équipement, une machine, une installation",1
I1306,106740,"Positionner et fixer les groupes, condenseurs, tubes, câbles électriques",1
I1306,300462,Rendre compte de son activité,1
M1827,300587,Concevoir et maintenir un système de cybersécurité,2
M1805,491242,Ingénieur diplômé de l'école nationale supérieure d'informatique pour l'industrie et l'entreprise spécialité informatique,1
M1882,507589,Concevoir des architectures de sécurité,1
M1884,485379,Concevoir des architectures réseau optimisées,1
M1805,102788,HTML,1
M1806,300398,Optimiser la performance de l'organisation,1
M1802,109854,Systèmes d'exploitation informatique,1
M1842,120340,Procéder aux phases de tests et de recettes des applications développées,1
M1879,480213,Architecture de solutions cloud,1
M1405,404156,DRT modélisation calcul scientifique statistique et informatique,1
H1215,120935,Techniques de machine learning en bioinformatique,1
H1208,104537,Paramétrer un programme d'automatisation pour un automate programmable,1
I1616,107035,Spécificités d'un moteur essence,1
M1811,300586,Concevoir et développer une solution digitale,1
M1405,404369,Piloter les étapes d'un projet agile et innovant,1
M1419,109529,Communiquer les résultats des études aux parties prenantes,40
M1811,110150,Anglais technique,8
M1806,485330,Assurer la formation des utilisateurs sur les nouveaux outils ou systèmes,2
M1827,484487,Assurer la sécurité des pipelines de CI/CD,7
M1873,113312,"Optimiser des algorithmes, une application informatique et mettre en oeuvre leur développement",1
M1419,113798,Programmation en Python,2
M1811,400568,Paramétrer un logiciel métier et l'interfacer à d'autres applicatifs,2
M1201,124418,Réaliser un modèle de prévision,3
M1861,300688,Application web,2
M1818,405291,Faciliter l'intégration de solutions d'intelligence artificielle dans les projets existants,1
M1811,404167,Gérer et maitriser des bases de données (SQL/NoSQL),9
